,first_login_dt,week_year,user_id,habito,habito_dt,activacion,activacion_dt,setup,setup_dt,return,return_dt,min_dt,activacion_dias,setup_dias,return_dias,habito_dias
948,2022-01-20,3,MLB8111924620,0,,0,,0,,0,,2022-01-20,,,,
5626,2022-01-12,2,MLB8115041850,0,,0,,0,,1,2022-01-13,2022-01-12,,,1,
3382,2022-01-19,3,MLB811603600,0,,0,,0,,0,,2022-01-19,,,,
9178,2022-01-01,1,MLB8117101360,0,,1,2022-01-15,1,2022-01-15,1,2022-01-15,2022-01-01,14,14,14,
7027,2022-01-22,3,MLB8117956210,0,,0,,0,,1,2022-01-23,2022-01-22,,,1,
4301,2022-01-22,3,MLB8118248160,0,,1,2022-01-22,0,,1,2022-01-23,2022-01-22,0,,1,
9991,2022-01-07,1,MLB8119218640,0,,0,,0,,0,,2022-01-07,,,,
7120,2022-01-16,2,MLB8121071830,0,,1,2022-01-20,1,2022-01-16,1,2022-01-20,2022-01-16,4,0,4,
8512,2022-01-15,2,MLB8122491050,0,,1,2022-01-15,1,2022-01-15,1,2022-01-16,2022-01-15,0,0,1,
11084,2022-01-31,5,MLB8123228120,0,,0,,0,,0,,2022-01-31,,,,
8499,2022-01-02,1,MLB8124087310,0,,0,,0,,0,,2022-01-02,,,,
5433,2022-01-09,1,MLB8124881980,0,,0,,1,2022-01-09,1,2022-01-26,2022-01-09,,0,17,
4465,2022-01-10,2,MLB8125166740,0,,1,2022-01-10,1,2022-01-10,0,,2022-01-10,0,0,,
8779,2022-01-28,4,MLB8129114360,0,,0,,0,,1,2022-01-29,2022-01-28,,,1,
371,2022-01-10,2,MLB8129476900,0,,0,,0,,0,,2022-01-10,,,,
11296,2022-01-12,2,MLB8132568980,0,,0,,0,,1,2022-01-17,2022-01-12,,,5,
9733,2022-01-15,2,MLB8135816300,1,2022-01-26,1,2022-01-18,1,2022-01-15,1,2022-01-17,2022-01-15,3,0,2,11
9980,2022-01-03,1,MLB8136076270,0,,0,,0,,1,2022-01-07,2022-01-03,,,4,
2127,2022-01-24,4,MLB8136418890,0,,0,,0,,0,,2022-01-24,,,,
2955,2022-01-19,3,MLB8138673660,0,,0,,0,,1,2022-02-07,2022-01-19,,,19,
3762,2022-01-04,1,MLB8138779500,0,,0,,1,2022-01-04,1,2022-01-06,2022-01-04,,0,2,
7148,2022-01-05,1,MLB8138813270,0,,0,,0,,1,2022-01-10,2022-01-05,,,5,
652,2022-01-14,2,MLB8139373830,0,,0,,0,,1,2022-02-07,2022-01-14,,,24,
8347,2022-01-23,3,MLB8141032850,0,,0,,1,2022-01-23,0,,2022-01-23,,0,,
3077,2022-01-08,1,MLB8141537210,1,2022-01-22,1,2022-01-08,1,2022-01-28,1,2022-01-09,2022-01-08,0,20,1,14
11453,2022-01-22,3,MLB8141913820,0,,0,,0,,0,,2022-01-22,,,,
